prod_id,issue_count,high_severity_issues,medium_severity_issues,low_severity_issues
202609120014013,5,3,2,0
202609120013319,5,3,2,0
202609120045489,5,3,1,1
202609120025782,4,3,1,0
202609120040899,4,3,1,0
202609120043570,4,3,1,0
202609120043000,4,3,1,0
202609120046807,4,3,1,0
202609120030873,4,3,1,0
202609120004004,3,3,0,0
202609120011746,3,3,0,0
202609120016440,4,2,2,0
202609120024390,4,2,2,0
202609120039252,4,2,2,0
202609120026890,4,2,2,0
202609120029105,4,2,2,0
202609120025714,4,2,2,0
202609120017036,4,2,2,0
202609120005977,4,2,2,0
202609120020958,4,2,2,0
202609120004804,4,2,2,0
202609120000534,4,2,2,0
202609120042810,4,2,2,0
202609120013747,4,2,2,0
202609120036078,4,2,2,0
202609120004167,4,2,2,0
202609120025783,4,2,2,0
202609120006786,4,2,2,0
202609120023822,4,2,2,0
202609120042674,4,2,2,0
202609120039484,4,2,2,0
202609120035181,4,2,2,0
202609120006655,4,2,2,0
202609120029224,4,2,2,0
202609120034563,4,2,2,0
202609120010895,4,2,2,0
202609120034671,4,2,2,0
202609120031602,4,2,2,0
202609120002104,4,2,2,0
202609120007271,4,2,2,0
202609120030443,4,2,2,0
202609120009491,4,2,2,0
202609120002686,4,2,2,0
202609120007492,4,2,2,0
202609120011713,4,2,2,0
202609120027186,4,2,2,0
202609120006709,4,2,2,0
202609120009234,4,2,2,0
202609120036951,4,2,2,0
202609120046514,4,2,2,0
202609120038106,4,2,2,0
202609120007445,4,2,2,0
202609120014642,4,2,2,0
202609120037119,4,2,2,0
202609120017531,4,2,2,0
202609120016406,4,2,2,0
202609120016951,4,2,2,0
202609120011020,4,2,2,0
202609120009999,4,2,2,0
202609120003638,4,2,2,0
202609120023046,4,2,2,0
202609120007382,4,2,1,1
202609120026721,4,2,1,1
202609120022264,4,2,1,1
202609120006152,4,2,1,1
202609120006187,4,2,1,1
202609120016819,4,2,1,1
202609120017992,4,2,1,1
202609120005377,4,2,1,1
202609120003480,3,2,1,0
202609120032198,3,2,1,0
202609120005224,3,2,1,0
202609120007516,3,2,1,0
202609120014928,3,2,1,0
202609120047955,3,2,1,0
202609120037438,3,2,1,0
202609120047279,3,2,1,0
202609120003065,3,2,1,0
202609120019814,3,2,1,0
202609120030319,3,2,1,0
202609120013551,3,2,1,0
202609120001788,3,2,1,0
202609120043532,3,2,1,0
202609120041304,3,2,1,0
202609120048113,3,2,1,0
202609120025567,3,2,1,0
202609120039483,3,2,1,0
202609120004107,3,2,1,0
202609120011823,3,2,1,0
202609120044407,3,2,1,0
202609120011528,3,2,1,0
202609120021907,3,2,1,0
202609120001623,3,2,1,0
202609120029688,3,2,1,0
202609120011748,3,2,1,0
202609120047096,3,2,1,0
202609120041537,3,2,1,0
202609120032833,3,2,1,0
202609120000499,3,2,1,0
202609120002655,3,2,1,0
202609120029329,3,2,1,0
202609120007636,3,2,1,0
202609120037680,3,2,1,0
202609120013750,3,2,1,0
202609120017730,3,2,1,0
202609120009468,3,2,1,0
202609120019560,3,2,1,0
202609120018943,3,2,1,0
202609120038314,3,2,1,0
202609120009019,3,2,1,0
202609120034603,3,2,1,0
202609120037651,3,2,1,0
202609120010352,3,2,1,0
202609120041291,3,2,1,0
202609120038004,3,2,1,0
202609120002654,3,2,1,0
202609120006050,3,2,1,0
202609120003050,3,2,1,0
202609120017252,3,2,1,0
202609120006738,3,2,1,0
202609120028311,3,2,1,0
202609120028948,3,2,1,0
202609120047415,3,2,1,0
202609120004597,3,2,1,0
202609120029826,3,2,1,0
202609120022314,3,2,1,0
202609120047747,3,2,1,0
202609120016226,3,2,1,0
202609120045925,3,2,1,0
202609120038289,3,2,1,0
202609120012761,3,2,1,0
202609120022804,3,2,1,0
202609120013961,3,2,1,0
202609120040703,3,2,1,0
202609120012631,3,2,1,0
202609120021146,3,2,1,0
202609120034977,3,2,1,0
202609120022742,3,2,1,0
202609120042225,3,2,1,0
202609120025151,3,2,1,0
202609120004976,3,2,1,0
202609120035445,3,2,1,0
202609120012073,3,2,1,0
202609120046543,3,2,1,0
202609120010907,3,2,1,0
202609120011175,3,2,1,0
202609120005426,3,2,1,0
202609120000380,3,2,1,0
202609120001594,3,2,1,0
202609120007077,3,2,1,0
202609120005827,3,2,1,0
202609120039596,3,2,1,0
202609120047213,3,2,1,0
202609120032542,3,2,1,0
202609120021262,3,2,1,0
202609120008723,3,2,1,0
202609120045923,3,2,1,0
202609120000017,3,2,1,0
202609120019565,3,2,1,0
202609120017228,3,2,1,0
202609120041728,3,2,1,0
202609120040169,3,2,1,0
202609120033015,3,2,1,0
202609120005445,3,2,1,0
202609120030536,3,2,1,0
202609120045969,3,2,1,0
202609120026926,3,2,1,0
202609120004413,3,2,1,0
202609120035242,3,2,1,0
202609120037775,3,2,1,0
202609120027101,3,2,1,0
202609120014102,3,2,1,0
202609120014460,3,2,1,0
202609120024791,3,2,1,0
202609120014981,3,2,1,0
202609120046004,3,2,1,0
202609120007029,3,2,1,0
202609120043162,3,2,1,0
202609120033955,3,2,1,0
202609120039452,3,2,1,0
202609120049507,3,2,1,0
202609120026033,3,2,1,0
202609120004816,3,2,1,0
202609120008397,3,2,1,0
202609120020925,3,2,1,0
202609120010608,3,2,1,0
202609120048326,3,2,1,0
202609120000255,3,2,1,0
202609120013324,3,2,1,0
202609120026004,3,2,1,0
202609120017753,3,2,1,0
202609120036879,3,2,1,0
202609120040300,3,2,1,0
202609120004734,3,2,1,0
202609120030733,3,2,1,0
202609120010778,3,2,1,0
202609120009560,3,2,1,0
202609120043095,3,2,1,0
202609120041781,3,2,1,0
202609120042401,3,2,1,0
202609120039224,3,2,1,0
202609120004843,3,2,1,0
202609120049113,3,2,1,0
202609120017193,3,2,1,0
202609120015833,3,2,1,0
202609120000762,3,2,1,0
202609120022939,3,2,1,0
202609120027439,3,2,1,0
202609120048560,3,2,1,0
202609120035589,3,2,1,0
202609120031218,3,2,1,0
202609120043928,3,2,1,0
202609120038911,3,2,1,0
202609120022979,3,2,1,0
202609120008806,3,2,1,0
202609120015782,3,2,1,0
202609120010576,3,2,1,0
202609120016312,3,2,1,0
202609120047922,3,2,1,0
202609120018183,3,2,1,0
202609120043891,3,2,1,0
202609120044805,3,2,1,0
202609120047361,3,2,1,0
202609120028712,3,2,1,0
202609120000440,3,2,0,1
202609120019708,3,2,0,1
202609120039699,3,2,0,1
202609120034434,3,2,0,1
202609120044376,3,2,0,1
202609120028716,3,2,0,1
202609120019265,3,2,0,1
202609120020582,3,2,0,1
202609120022244,2,2,0,0
202609120044395,2,2,0,0
202609120031877,2,2,0,0
202609120033179,2,2,0,0
202609120013911,2,2,0,0
202609120045204,2,2,0,0
202609120042620,2,2,0,0
202609120048310,2,2,0,0
202609120014346,2,2,0,0
202609120041692,2,2,0,0
202609120035023,2,2,0,0
202609120001379,2,2,0,0
202609120015370,2,2,0,0
202609120010889,2,2,0,0
202609120007422,2,2,0,0
202609120013904,2,2,0,0
202609120030070,2,2,0,0
202609120019417,2,2,0,0
