"rule_id","error_type","issue_category","severity","total_records"
VR013,Duplicate_Email,DUPLICATE_RECORD,MEDIUM,21011
VR008,Start_Age_Under_18,BUSINESS_RULE_EXCEPTION,HIGH,1779
VR014,Missing_Email,MISSING_DATA,LOW,1396
VR016,Missing_Phone_Number,MISSING_DATA,LOW,997
VR015,Missing_Branch_ID,MISSING_DATA,MEDIUM,399
VR012,THP_Over,SALARY_VALIDATION,MEDIUM,281
VR001,Duplicate_ID,DUPLICATE_RECORD,HIGH,240
VR002,Duplicate_Employee_ID,DUPLICATE_RECORD,HIGH,238
VR005,DOB_Mismatch_in_ID,CROSS_FIELD_MISMATCH,HIGH,226
VR006,DOB_Mismatch_in_Employee_ID,CROSS_FIELD_MISMATCH,HIGH,226
VR007,Start_Date_Mismatch_in_Employee_ID,CROSS_FIELD_MISMATCH,MEDIUM,201
VR009,Start_Date_Not_First_Day,BUSINESS_RULE_EXCEPTION,LOW,148
VR011,THP_Under,SALARY_VALIDATION,MEDIUM,118
